,Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,3,Accompanied Minors (AM),Guatemala,Title 42
23,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,12,Accompanied Minors (AM),Guatemala,Title 42
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,4,Unaccompanied Children (UC) / Single Minors,Guatemala,Title 42
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,2,Unaccompanied Children (UC) / Single Minors,Guatemala,Title 42
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,2,Unaccompanied Children (UC) / Single Minors,Guatemala,Title 42
27,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,377,Single Adults,Guatemala,Title 42
28,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,24,Single Adults,Guatemala,Title 42
29,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,36,Single Adults,Guatemala,Title 42
30,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,32,Single Adults,Guatemala,Title 42
31,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,36,Single Adults,Guatemala,Title 42
32,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,52,Single Adults,Guatemala,Title 42
33,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,44,Single Adults,Guatemala,Title 42
34,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,41,Single Adults,Guatemala,Title 42
35,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,26,Single Adults,Guatemala,Title 42
36,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,34,Single Adults,Guatemala,Title 42
37,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,17,Single Adults,Guatemala,Title 42
38,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,35,Single Adults,Guatemala,Title 42
39,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,157270,%many-values%,Guatemala,Title 42
40,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,17295,%many-values%,Guatemala,Title 42
41,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,14695,%many-values%,Guatemala,Title 42
42,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,16918,%many-values%,Guatemala,Title 42
43,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,17197,%many-values%,Guatemala,Title 42
44,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,19188,%many-values%,Guatemala,Title 42
45,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,20281,%many-values%,Guatemala,Title 42
46,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,13419,%many-values%,Guatemala,Title 42
47,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,10549,%many-values%,Guatemala,Title 42
48,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,10438,%many-values%,Guatemala,Title 42
49,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,8984,%many-values%,Guatemala,Title 42
50,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,8306,%many-values%,Guatemala,Title 42
51,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,769,Unaccompanied Children (UC) / Single Minors,Guatemala,Title 42
52,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,4,Unaccompanied Children (UC) / Single Minors,Guatemala,Title 42
53,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,1,Unaccompanied Children (UC) / Single Minors,Guatemala,Title 42
54,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,309,Unaccompanied Children (UC) / Single Minors,Guatemala,Title 42
55,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,455,Unaccompanied Children (UC) / Single Minors,Guatemala,Title 42
56,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,31219,Individuals in a Family Unit (FMUA),Guatemala,Title 42
57,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,7135,Individuals in a Family Unit (FMUA),Guatemala,Title 42
58,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,2928,Individuals in a Family Unit (FMUA),Guatemala,Title 42
59,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,1972,Individuals in a Family Unit (FMUA),Guatemala,Title 42
60,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,2011,Individuals in a Family Unit (FMUA),Guatemala,Title 42
61,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,4773,Individuals in a Family Unit (FMUA),Guatemala,Title 42
62,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,6790,Individuals in a Family Unit (FMUA),Guatemala,Title 42
63,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,2408,Individuals in a Family Unit (FMUA),Guatemala,Title 42
64,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,798,Individuals in a Family Unit (FMUA),Guatemala,Title 42
65,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,736,Individuals in a Family Unit (FMUA),Guatemala,Title 42
66,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,878,Individuals in a Family Unit (FMUA),Guatemala,Title 42
67,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,790,Individuals in a Family Unit (FMUA),Guatemala,Title 42
68,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,125282,Single Adults,Guatemala,Title 42
69,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,10156,Single Adults,Guatemala,Title 42
70,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,11767,Single Adults,Guatemala,Title 42
71,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,14946,Single Adults,Guatemala,Title 42
72,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,15186,Single Adults,Guatemala,Title 42
73,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,14415,Single Adults,Guatemala,Title 42
74,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,13491,Single Adults,Guatemala,Title 42
75,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,11010,Single Adults,Guatemala,Title 42
76,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,9751,Single Adults,Guatemala,Title 42
77,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,9702,Single Adults,Guatemala,Title 42
78,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,7797,Single Adults,Guatemala,Title 42
79,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,7061,Single Adults,Guatemala,Title 42
80,%all%,%all%,%all%,%all%,%all%,%all%,157703,%many-values%,Guatemala,Title 42
81,%all%,%all%,%all%,%all%,AUG,AUG,17323,%many-values%,Guatemala,Title 42
82,%all%,%all%,%all%,%all%,JUL,JUL,14734,%many-values%,Guatemala,Title 42
83,%all%,%all%,%all%,%all%,JUN,JUN,16952,%many-values%,Guatemala,Title 42
84,%all%,%all%,%all%,%all%,MAY,MAY,17235,%many-values%,Guatemala,Title 42
85,%all%,%all%,%all%,%all%,APR,APR,19245,%many-values%,Guatemala,Title 42
86,%all%,%all%,%all%,%all%,MAR,MAR,20332,%many-values%,Guatemala,Title 42
87,%all%,%all%,%all%,%all%,FEB,FEB,13470,%many-values%,Guatemala,Title 42
88,%all%,%all%,%all%,%all%,JAN,JAN,10576,%many-values%,Guatemala,Title 42
89,%all%,%all%,%all%,%all%,DEC,DEC,10475,%many-values%,Guatemala,Title 42
90,%all%,%all%,%all%,%all%,NOV,NOV,9006,%many-values%,Guatemala,Title 42
91,%all%,%all%,%all%,%all%,OCT,OCT,8355,%many-values%,Guatemala,Title 42
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,10113,%many-values%,Honduras,all
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,2593,%many-values%,Honduras,all
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,2703,%many-values%,Honduras,all
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,2413,%many-values%,Honduras,all
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,1507,%many-values%,Honduras,all
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,467,%many-values%,Honduras,all
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,127,%many-values%,Honduras,all
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,78,%many-values%,Honduras,all
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,70,%many-values%,Honduras,all
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,62,%many-values%,Honduras,all
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,53,%many-values%,Honduras,all
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,40,%many-values%,Honduras,all
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,89,Accompanied Minors (AM),Honduras,all
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,11,Accompanied Minors (AM),Honduras,all
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,11,Accompanied Minors (AM),Honduras,all
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,16,Accompanied Minors (AM),Honduras,all
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,9,Accompanied Minors (AM),Honduras,all
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,9,Accompanied Minors (AM),Honduras,all
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,4,Accompanied Minors (AM),Honduras,all
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,12,Accompanied Minors (AM),Honduras,all
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,3,Accompanied Minors (AM),Honduras,all
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,4,Accompanied Minors (AM),Honduras,all
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,6,Accompanied Minors (AM),Honduras,all
23,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,4,Accompanied Minors (AM),Honduras,all
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,161,Unaccompanied Children (UC) / Single Minors,Honduras,all
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,31,Unaccompanied Children (UC) / Single Minors,Honduras,all
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,26,Unaccompanied Children (UC) / Single Minors,Honduras,all
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,17,Unaccompanied Children (UC) / Single Minors,Honduras,all
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,20,Unaccompanied Children (UC) / Single Minors,Honduras,all
29,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,27,Unaccompanied Children (UC) / Single Minors,Honduras,all
30,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,15,Unaccompanied Children (UC) / Single Minors,Honduras,all
31,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,6,Unaccompanied Children (UC) / Single Minors,Honduras,all
32,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,8,Unaccompanied Children (UC) / Single Minors,Honduras,all
33,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,3,Unaccompanied Children (UC) / Single Minors,Honduras,all
34,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,4,Unaccompanied Children (UC) / Single Minors,Honduras,all
35,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,4,Unaccompanied Children (UC) / Single Minors,Honduras,all
36,Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,7480,Individuals in a Family Unit (FMUA),Honduras,all
37,Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,1901,Individuals in a Family Unit (FMUA),Honduras,all
38,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,2057,Individuals in a Family Unit (FMUA),Honduras,all
39,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,1950,Individuals in a Family Unit (FMUA),Honduras,all
40,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,1186,Individuals in a Family Unit (FMUA),Honduras,all
41,Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,318,Individuals in a Family Unit (FMUA),Honduras,all
42,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,41,Individuals in a Family Unit (FMUA),Honduras,all
43,Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,7,Individuals in a Family Unit (FMUA),Honduras,all
44,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,7,Individuals in a Family Unit (FMUA),Honduras,all
45,Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,11,Individuals in a Family Unit (FMUA),Honduras,all
46,Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,2,Individuals in a Family Unit (FMUA),Honduras,all
47,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,2383,Single Adults,Honduras,all
48,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,650,Single Adults,Honduras,all
49,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,609,Single Adults,Honduras,all
50,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,430,Single Adults,Honduras,all
51,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,292,Single Adults,Honduras,all
52,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,113,Single Adults,Honduras,all
53,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,67,Single Adults,Honduras,all
54,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,53,Single Adults,Honduras,all
55,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,52,Single Adults,Honduras,all
56,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,44,Single Adults,Honduras,all
57,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,41,Single Adults,Honduras,all
58,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,32,Single Adults,Honduras,all
59,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,281831,%many-values%,Honduras,all
60,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,39238,%many-values%,Honduras,all
61,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,42578,%many-values%,Honduras,all
62,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,32624,%many-values%,Honduras,all
63,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,30623,%many-values%,Honduras,all
64,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,37743,%many-values%,Honduras,all
65,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,41990,%many-values%,Honduras,all
66,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,20102,%many-values%,Honduras,all
67,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,11162,%many-values%,Honduras,all
68,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,10296,%many-values%,Honduras,all
69,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,8146,%many-values%,Honduras,all
70,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,7329,%many-values%,Honduras,all
71,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,36075,Unaccompanied Children (UC) / Single Minors,Honduras,all
72,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,5317,Unaccompanied Children (UC) / Single Minors,Honduras,all
73,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,5599,Unaccompanied Children (UC) / Single Minors,Honduras,all
74,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,4188,Unaccompanied Children (UC) / Single Minors,Honduras,all
75,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,3801,Unaccompanied Children (UC) / Single Minors,Honduras,all
76,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,5182,Unaccompanied Children (UC) / Single Minors,Honduras,all
77,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,5932,Unaccompanied Children (UC) / Single Minors,Honduras,all
78,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,2556,Unaccompanied Children (UC) / Single Minors,Honduras,all
79,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,1141,Unaccompanied Children (UC) / Single Minors,Honduras,all
80,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,943,Unaccompanied Children (UC) / Single Minors,Honduras,all
81,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,651,Unaccompanied Children (UC) / Single Minors,Honduras,all
82,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,765,Unaccompanied Children (UC) / Single Minors,Honduras,all
83,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,133456,Individuals in a Family Unit (FMUA),Honduras,all
84,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,23560,Individuals in a Family Unit (FMUA),Honduras,all
85,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,23963,Individuals in a Family Unit (FMUA),Honduras,all
86,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,14747,Individuals in a Family Unit (FMUA),Honduras,all
87,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,12515,Individuals in a Family Unit (FMUA),Honduras,all
88,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,19450,Individuals in a Family Unit (FMUA),Honduras,all
89,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,24920,Individuals in a Family Unit (FMUA),Honduras,all
90,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,9085,Individuals in a Family Unit (FMUA),Honduras,all
91,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,1961,Individuals in a Family Unit (FMUA),Honduras,all
92,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,1207,Individuals in a Family Unit (FMUA),Honduras,all
93,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,919,Individuals in a Family Unit (FMUA),Honduras,all
94,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,1129,Individuals in a Family Unit (FMUA),Honduras,all
95,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,112300,Single Adults,Honduras,all
96,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,10361,Single Adults,Honduras,all
97,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,13016,Single Adults,Honduras,all
98,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,13689,Single Adults,Honduras,all
99,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,14307,Single Adults,Honduras,all
100,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,13111,Single Adults,Honduras,all
101,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,11138,Single Adults,Honduras,all
102,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,8461,Single Adults,Honduras,all
103,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,8060,Single Adults,Honduras,all
104,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,8146,Single Adults,Honduras,all
105,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,6576,Single Adults,Honduras,all
106,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,5435,Single Adults,Honduras,all
107,%all%,%all%,%all%,%all%,%all%,%all%,291944,%many-values%,Honduras,all
108,%all%,%all%,%all%,%all%,AUG,AUG,41831,%many-values%,Honduras,all
109,%all%,%all%,%all%,%all%,JUL,JUL,45281,%many-values%,Honduras,all
110,%all%,%all%,%all%,%all%,JUN,JUN,35037,%many-values%,Honduras,all
111,%all%,%all%,%all%,%all%,MAY,MAY,32130,%many-values%,Honduras,all
112,%all%,%all%,%all%,%all%,APR,APR,38210,%many-values%,Honduras,all
113,%all%,%all%,%all%,%all%,MAR,MAR,42117,%many-values%,Honduras,all
114,%all%,%all%,%all%,%all%,FEB,FEB,20180,%many-values%,Honduras,all
115,%all%,%all%,%all%,%all%,JAN,JAN,11232,%many-values%,Honduras,all
116,%all%,%all%,%all%,%all%,DEC,DEC,10358,%many-values%,Honduras,all
117,%all%,%all%,%all%,%all%,NOV,NOV,8199,%many-values%,Honduras,all
118,%all%,%all%,%all%,%all%,OCT,OCT,7369,%many-values%,Honduras,all
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,9677,%many-values%,Honduras,Title 8
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,2565,%many-values%,Honduras,Title 8
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,2654,%many-values%,Honduras,Title 8
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,2374,%many-values%,Honduras,Title 8
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,1463,%many-values%,Honduras,Title 8
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,421,%many-values%,Honduras,Title 8
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,95,%many-values%,Honduras,Title 8
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,28,%many-values%,Honduras,Title 8
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,24,%many-values%,Honduras,Title 8
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,21,%many-values%,Honduras,Title 8
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,20,%many-values%,Honduras,Title 8
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,12,%many-values%,Honduras,Title 8
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,19,Accompanied Minors (AM),Honduras,Title 8
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,4,Accompanied Minors (AM),Honduras,Title 8
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,7,Accompanied Minors (AM),Honduras,Title 8
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,3,Accompanied Minors (AM),Honduras,Title 8
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,4,Accompanied Minors (AM),Honduras,Title 8
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,1,Accompanied Minors (AM),Honduras,Title 8
18,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,160,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
19,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,31,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
20,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,26,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
21,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,17,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
22,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,20,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
23,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,27,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,15,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,6,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,8,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,3,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,4,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
29,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,3,Unaccompanied Children (UC) / Single Minors,Honduras,Title 8
30,Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,7480,Individuals in a Family Unit (FMUA),Honduras,Title 8
31,Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,1901,Individuals in a Family Unit (FMUA),Honduras,Title 8
32,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,2057,Individuals in a Family Unit (FMUA),Honduras,Title 8
