,Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
15,2018,2018,MAY,MAY,1780,Guatemala,Office of Field Operations,all,Title 8
16,2019,2019,MAY,MAY,286,Guatemala,Office of Field Operations,all,Title 8
17,2020,2020,MAY,MAY,6,Guatemala,Office of Field Operations,all,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,568,Guatemala,Office of Field Operations,all,Title 8
19,2018,2018,APR,APR,2116,Guatemala,Office of Field Operations,all,Title 8
20,2019,2019,APR,APR,354,Guatemala,Office of Field Operations,all,Title 8
21,2020,2020,APR,APR,4,Guatemala,Office of Field Operations,all,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,214,Guatemala,Office of Field Operations,all,Title 8
23,2018,2018,MAR,MAR,2114,Guatemala,Office of Field Operations,all,Title 8
24,2019,2019,MAR,MAR,491,Guatemala,Office of Field Operations,all,Title 8
25,2020,2020,MAR,MAR,57,Guatemala,Office of Field Operations,all,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,88,Guatemala,Office of Field Operations,all,Title 8
27,2018,2018,FEB,FEB,1505,Guatemala,Office of Field Operations,all,Title 8
28,2019,2019,FEB,FEB,635,Guatemala,Office of Field Operations,all,Title 8
29,2020,2020,FEB,FEB,83,Guatemala,Office of Field Operations,all,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,74,Guatemala,Office of Field Operations,all,Title 8
31,2018,2018,JAN,JAN,1447,Guatemala,Office of Field Operations,all,Title 8
32,2019,2019,JAN,JAN,875,Guatemala,Office of Field Operations,all,Title 8
33,2020,2020,JAN,JAN,93,Guatemala,Office of Field Operations,all,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,28,Guatemala,Office of Field Operations,all,Title 8
35,2018,2018,DEC,DEC,2402,Guatemala,Office of Field Operations,all,Title 8
36,2019,2019,DEC,DEC,868,Guatemala,Office of Field Operations,all,Title 8
37,2020,2020,DEC,DEC,94,Guatemala,Office of Field Operations,all,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,23,Guatemala,Office of Field Operations,all,Title 8
39,2018,2018,NOV,NOV,1586,Guatemala,Office of Field Operations,all,Title 8
40,2019,2019,NOV,NOV,1027,Guatemala,Office of Field Operations,all,Title 8
41,2020,2020,NOV,NOV,111,Guatemala,Office of Field Operations,all,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,22,Guatemala,Office of Field Operations,all,Title 8
43,2018,2018,OCT,OCT,1508,Guatemala,Office of Field Operations,all,Title 8
44,2019,2019,OCT,OCT,831,Guatemala,Office of Field Operations,all,Title 8
45,2020,2020,OCT,OCT,121,Guatemala,Office of Field Operations,all,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,18,Guatemala,Office of Field Operations,all,Title 8
0,2020,2020,SEP,SEP,11,Guatemala,Office of Field Operations,all,Title 42
1,2020,2020,AUG,AUG,31,Guatemala,Office of Field Operations,all,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,28,Guatemala,Office of Field Operations,all,Title 42
3,2020,2020,JUL,JUL,61,Guatemala,Office of Field Operations,all,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,39,Guatemala,Office of Field Operations,all,Title 42
5,2020,2020,JUN,JUN,62,Guatemala,Office of Field Operations,all,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,34,Guatemala,Office of Field Operations,all,Title 42
7,2020,2020,MAY,MAY,16,Guatemala,Office of Field Operations,all,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,38,Guatemala,Office of Field Operations,all,Title 42
9,2020,2020,APR,APR,13,Guatemala,Office of Field Operations,all,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,57,Guatemala,Office of Field Operations,all,Title 42
11,2020,2020,MAR,MAR,3,Guatemala,Office of Field Operations,all,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,51,Guatemala,Office of Field Operations,all,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,51,Guatemala,Office of Field Operations,all,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,27,Guatemala,Office of Field Operations,all,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,37,Guatemala,Office of Field Operations,all,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,22,Guatemala,Office of Field Operations,all,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,49,Guatemala,Office of Field Operations,all,Title 42
0,2018,2018,SEP,SEP,1,Guatemala,Office of Field Operations,Accompanied Minors,all
1,2019,2019,SEP,SEP,3,Guatemala,Office of Field Operations,Accompanied Minors,all
2,2018,2018,AUG,AUG,3,Guatemala,Office of Field Operations,Accompanied Minors,all
3,2019,2019,AUG,AUG,0,Guatemala,Office of Field Operations,Accompanied Minors,all
4,2020,2020,AUG,AUG,1,Guatemala,Office of Field Operations,Accompanied Minors,all
5,2021 (FYTD),2021 (FYTD),AUG,AUG,7,Guatemala,Office of Field Operations,Accompanied Minors,all
6,2018,2018,JUL,JUL,3,Guatemala,Office of Field Operations,Accompanied Minors,all
7,2019,2019,JUL,JUL,0,Guatemala,Office of Field Operations,Accompanied Minors,all
8,2020,2020,JUL,JUL,2,Guatemala,Office of Field Operations,Accompanied Minors,all
9,2021 (FYTD),2021 (FYTD),JUL,JUL,3,Guatemala,Office of Field Operations,Accompanied Minors,all
10,2018,2018,JUN,JUN,6,Guatemala,Office of Field Operations,Accompanied Minors,all
11,2019,2019,JUN,JUN,0,Guatemala,Office of Field Operations,Accompanied Minors,all
12,2020,2020,JUN,JUN,4,Guatemala,Office of Field Operations,Accompanied Minors,all
13,2021 (FYTD),2021 (FYTD),JUN,JUN,3,Guatemala,Office of Field Operations,Accompanied Minors,all
14,2018,2018,MAY,MAY,8,Guatemala,Office of Field Operations,Accompanied Minors,all
15,2019,2019,MAY,MAY,0,Guatemala,Office of Field Operations,Accompanied Minors,all
16,2021 (FYTD),2021 (FYTD),MAY,MAY,2,Guatemala,Office of Field Operations,Accompanied Minors,all
17,2018,2018,APR,APR,9,Guatemala,Office of Field Operations,Accompanied Minors,all
18,2019,2019,APR,APR,1,Guatemala,Office of Field Operations,Accompanied Minors,all
19,2021 (FYTD),2021 (FYTD),APR,APR,7,Guatemala,Office of Field Operations,Accompanied Minors,all
20,2018,2018,MAR,MAR,15,Guatemala,Office of Field Operations,Accompanied Minors,all
21,2019,2019,MAR,MAR,3,Guatemala,Office of Field Operations,Accompanied Minors,all
22,2021 (FYTD),2021 (FYTD),MAR,MAR,7,Guatemala,Office of Field Operations,Accompanied Minors,all
23,2018,2018,FEB,FEB,9,Guatemala,Office of Field Operations,Accompanied Minors,all
24,2019,2019,FEB,FEB,1,Guatemala,Office of Field Operations,Accompanied Minors,all
25,2021 (FYTD),2021 (FYTD),FEB,FEB,11,Guatemala,Office of Field Operations,Accompanied Minors,all
26,2018,2018,JAN,JAN,7,Guatemala,Office of Field Operations,Accompanied Minors,all
27,2019,2019,JAN,JAN,2,Guatemala,Office of Field Operations,Accompanied Minors,all
28,2021 (FYTD),2021 (FYTD),JAN,JAN,1,Guatemala,Office of Field Operations,Accompanied Minors,all
29,2018,2018,DEC,DEC,10,Guatemala,Office of Field Operations,Accompanied Minors,all
30,2019,2019,DEC,DEC,0,Guatemala,Office of Field Operations,Accompanied Minors,all
31,2020,2020,DEC,DEC,1,Guatemala,Office of Field Operations,Accompanied Minors,all
32,2021 (FYTD),2021 (FYTD),DEC,DEC,3,Guatemala,Office of Field Operations,Accompanied Minors,all
33,2018,2018,NOV,NOV,3,Guatemala,Office of Field Operations,Accompanied Minors,all
34,2019,2019,NOV,NOV,3,Guatemala,Office of Field Operations,Accompanied Minors,all
35,2021 (FYTD),2021 (FYTD),NOV,NOV,3,Guatemala,Office of Field Operations,Accompanied Minors,all
36,2018,2018,OCT,OCT,11,Guatemala,Office of Field Operations,Accompanied Minors,all
37,2019,2019,OCT,OCT,0,Guatemala,Office of Field Operations,Accompanied Minors,all
38,2020,2020,OCT,OCT,1,Guatemala,Office of Field Operations,Accompanied Minors,all
39,2021 (FYTD),2021 (FYTD),OCT,OCT,12,Guatemala,Office of Field Operations,Accompanied Minors,all
0,2018,2018,SEP,SEP,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
1,2019,2019,SEP,SEP,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
2,2018,2018,AUG,AUG,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
3,2019,2019,AUG,AUG,0,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
4,2020,2020,AUG,AUG,%null%,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
5,2021 (FYTD),2021 (FYTD),AUG,AUG,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
6,2018,2018,JUL,JUL,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
7,2019,2019,JUL,JUL,0,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
8,2020,2020,JUL,JUL,%null%,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
9,2018,2018,JUN,JUN,6,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
10,2019,2019,JUN,JUN,0,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
11,2020,2020,JUN,JUN,%null%,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
12,2021 (FYTD),2021 (FYTD),JUN,JUN,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
13,2018,2018,MAY,MAY,8,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
14,2019,2019,MAY,MAY,0,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
15,2018,2018,APR,APR,9,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
16,2019,2019,APR,APR,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
17,2021 (FYTD),2021 (FYTD),APR,APR,2,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
18,2018,2018,MAR,MAR,15,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
19,2019,2019,MAR,MAR,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
20,2018,2018,FEB,FEB,9,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
21,2019,2019,FEB,FEB,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
22,2021 (FYTD),2021 (FYTD),FEB,FEB,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
23,2018,2018,JAN,JAN,7,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
24,2019,2019,JAN,JAN,2,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
25,2018,2018,DEC,DEC,10,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
26,2019,2019,DEC,DEC,0,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
27,2020,2020,DEC,DEC,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
28,2018,2018,NOV,NOV,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
29,2019,2019,NOV,NOV,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
30,2018,2018,OCT,OCT,11,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
31,2019,2019,OCT,OCT,0,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
32,2020,2020,OCT,OCT,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 8
0,2020,2020,AUG,AUG,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
1,2021 (FYTD),2021 (FYTD),AUG,AUG,4,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
2,2020,2020,JUL,JUL,2,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
3,2021 (FYTD),2021 (FYTD),JUL,JUL,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
4,2020,2020,JUN,JUN,4,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
5,2021 (FYTD),2021 (FYTD),JUN,JUN,2,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
6,2021 (FYTD),2021 (FYTD),MAY,MAY,2,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
7,2021 (FYTD),2021 (FYTD),APR,APR,5,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
8,2021 (FYTD),2021 (FYTD),MAR,MAR,7,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
9,2021 (FYTD),2021 (FYTD),FEB,FEB,10,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
10,2021 (FYTD),2021 (FYTD),JAN,JAN,1,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
11,2021 (FYTD),2021 (FYTD),DEC,DEC,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
12,2021 (FYTD),2021 (FYTD),NOV,NOV,3,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
13,2021 (FYTD),2021 (FYTD),OCT,OCT,12,Guatemala,Office of Field Operations,Accompanied Minors,Title 42
0,2018,2018,SEP,SEP,461,Guatemala,Office of Field Operations,FMUA,all
1,2019,2019,SEP,SEP,98,Guatemala,Office of Field Operations,FMUA,all
2,2020,2020,SEP,SEP,2,Guatemala,Office of Field Operations,FMUA,all
3,2018,2018,AUG,AUG,404,Guatemala,Office of Field Operations,FMUA,all
4,2019,2019,AUG,AUG,51,Guatemala,Office of Field Operations,FMUA,all
5,2021 (FYTD),2021 (FYTD),AUG,AUG,697,Guatemala,Office of Field Operations,FMUA,all
6,2018,2018,JUL,JUL,596,Guatemala,Office of Field Operations,FMUA,all
7,2019,2019,JUL,JUL,100,Guatemala,Office of Field Operations,FMUA,all
8,2020,2020,JUL,JUL,2,Guatemala,Office of Field Operations,FMUA,all
9,2021 (FYTD),2021 (FYTD),JUL,JUL,606,Guatemala,Office of Field Operations,FMUA,all
10,2018,2018,JUN,JUN,710,Guatemala,Office of Field Operations,FMUA,all
11,2019,2019,JUN,JUN,165,Guatemala,Office of Field Operations,FMUA,all
12,2021 (FYTD),2021 (FYTD),JUN,JUN,654,Guatemala,Office of Field Operations,FMUA,all
13,2018,2018,MAY,MAY,1278,Guatemala,Office of Field Operations,FMUA,all
14,2019,2019,MAY,MAY,188,Guatemala,Office of Field Operations,FMUA,all
15,2021 (FYTD),2021 (FYTD),MAY,MAY,485,Guatemala,Office of Field Operations,FMUA,all
16,2018,2018,APR,APR,1473,Guatemala,Office of Field Operations,FMUA,all
17,2019,2019,APR,APR,222,Guatemala,Office of Field Operations,FMUA,all
18,2021 (FYTD),2021 (FYTD),APR,APR,159,Guatemala,Office of Field Operations,FMUA,all
19,2018,2018,MAR,MAR,1422,Guatemala,Office of Field Operations,FMUA,all
20,2019,2019,MAR,MAR,348,Guatemala,Office of Field Operations,FMUA,all
21,2020,2020,MAR,MAR,15,Guatemala,Office of Field Operations,FMUA,all
22,2021 (FYTD),2021 (FYTD),MAR,MAR,38,Guatemala,Office of Field Operations,FMUA,all
23,2018,2018,FEB,FEB,1063,Guatemala,Office of Field Operations,FMUA,all
24,2019,2019,FEB,FEB,447,Guatemala,Office of Field Operations,FMUA,all
25,2020,2020,FEB,FEB,18,Guatemala,Office of Field Operations,FMUA,all
26,2021 (FYTD),2021 (FYTD),FEB,FEB,18,Guatemala,Office of Field Operations,FMUA,all
27,2018,2018,JAN,JAN,968,Guatemala,Office of Field Operations,FMUA,all
28,2019,2019,JAN,JAN,681,Guatemala,Office of Field Operations,FMUA,all
29,2020,2020,JAN,JAN,49,Guatemala,Office of Field Operations,FMUA,all
30,2021 (FYTD),2021 (FYTD),JAN,JAN,6,Guatemala,Office of Field Operations,FMUA,all
31,2018,2018,DEC,DEC,1676,Guatemala,Office of Field Operations,FMUA,all
32,2019,2019,DEC,DEC,696,Guatemala,Office of Field Operations,FMUA,all
33,2020,2020,DEC,DEC,24,Guatemala,Office of Field Operations,FMUA,all
34,2021 (FYTD),2021 (FYTD),DEC,DEC,2,Guatemala,Office of Field Operations,FMUA,all
35,2018,2018,NOV,NOV,1080,Guatemala,Office of Field Operations,FMUA,all
36,2019,2019,NOV,NOV,845,Guatemala,Office of Field Operations,FMUA,all
37,2020,2020,NOV,NOV,54,Guatemala,Office of Field Operations,FMUA,all
38,2021 (FYTD),2021 (FYTD),NOV,NOV,7,Guatemala,Office of Field Operations,FMUA,all
39,2018,2018,OCT,OCT,1054,Guatemala,Office of Field Operations,FMUA,all
40,2019,2019,OCT,OCT,611,Guatemala,Office of Field Operations,FMUA,all
41,2020,2020,OCT,OCT,80,Guatemala,Office of Field Operations,FMUA,all
42,2021 (FYTD),2021 (FYTD),OCT,OCT,6,Guatemala,Office of Field Operations,FMUA,all
0,2018,2018,SEP,SEP,461,Guatemala,Office of Field Operations,FMUA,Title 8
1,2019,2019,SEP,SEP,98,Guatemala,Office of Field Operations,FMUA,Title 8
2,2020,2020,SEP,SEP,2,Guatemala,Office of Field Operations,FMUA,Title 8
3,2018,2018,AUG,AUG,404,Guatemala,Office of Field Operations,FMUA,Title 8
4,2019,2019,AUG,AUG,51,Guatemala,Office of Field Operations,FMUA,Title 8
5,2021 (FYTD),2021 (FYTD),AUG,AUG,697,Guatemala,Office of Field Operations,FMUA,Title 8
6,2018,2018,JUL,JUL,596,Guatemala,Office of Field Operations,FMUA,Title 8
7,2019,2019,JUL,JUL,100,Guatemala,Office of Field Operations,FMUA,Title 8
8,2020,2020,JUL,JUL,2,Guatemala,Office of Field Operations,FMUA,Title 8
9,2021 (FYTD),2021 (FYTD),JUL,JUL,606,Guatemala,Office of Field Operations,FMUA,Title 8
10,2018,2018,JUN,JUN,710,Guatemala,Office of Field Operations,FMUA,Title 8
11,2019,2019,JUN,JUN,165,Guatemala,Office of Field Operations,FMUA,Title 8
12,2021 (FYTD),2021 (FYTD),JUN,JUN,654,Guatemala,Office of Field Operations,FMUA,Title 8
13,2018,2018,MAY,MAY,1278,Guatemala,Office of Field Operations,FMUA,Title 8
14,2019,2019,MAY,MAY,188,Guatemala,Office of Field Operations,FMUA,Title 8
15,2021 (FYTD),2021 (FYTD),MAY,MAY,485,Guatemala,Office of Field Operations,FMUA,Title 8
16,2018,2018,APR,APR,1473,Guatemala,Office of Field Operations,FMUA,Title 8
17,2019,2019,APR,APR,222,Guatemala,Office of Field Operations,FMUA,Title 8
18,2021 (FYTD),2021 (FYTD),APR,APR,159,Guatemala,Office of Field Operations,FMUA,Title 8
19,2018,2018,MAR,MAR,1422,Guatemala,Office of Field Operations,FMUA,Title 8
20,2019,2019,MAR,MAR,348,Guatemala,Office of Field Operations,FMUA,Title 8
21,2020,2020,MAR,MAR,15,Guatemala,Office of Field Operations,FMUA,Title 8
22,2021 (FYTD),2021 (FYTD),MAR,MAR,38,Guatemala,Office of Field Operations,FMUA,Title 8
23,2018,2018,FEB,FEB,1063,Guatemala,Office of Field Operations,FMUA,Title 8
24,2019,2019,FEB,FEB,447,Guatemala,Office of Field Operations,FMUA,Title 8
25,2020,2020,FEB,FEB,18,Guatemala,Office of Field Operations,FMUA,Title 8
26,2021 (FYTD),2021 (FYTD),FEB,FEB,18,Guatemala,Office of Field Operations,FMUA,Title 8
27,2018,2018,JAN,JAN,968,Guatemala,Office of Field Operations,FMUA,Title 8
28,2019,2019,JAN,JAN,681,Guatemala,Office of Field Operations,FMUA,Title 8
29,2020,2020,JAN,JAN,49,Guatemala,Office of Field Operations,FMUA,Title 8
30,2021 (FYTD),2021 (FYTD),JAN,JAN,6,Guatemala,Office of Field Operations,FMUA,Title 8
31,2018,2018,DEC,DEC,1676,Guatemala,Office of Field Operations,FMUA,Title 8
32,2019,2019,DEC,DEC,696,Guatemala,Office of Field Operations,FMUA,Title 8
33,2020,2020,DEC,DEC,24,Guatemala,Office of Field Operations,FMUA,Title 8
34,2021 (FYTD),2021 (FYTD),DEC,DEC,2,Guatemala,Office of Field Operations,FMUA,Title 8
35,2018,2018,NOV,NOV,1080,Guatemala,Office of Field Operations,FMUA,Title 8
36,2019,2019,NOV,NOV,845,Guatemala,Office of Field Operations,FMUA,Title 8
37,2020,2020,NOV,NOV,54,Guatemala,Office of Field Operations,FMUA,Title 8
38,2021 (FYTD),2021 (FYTD),NOV,NOV,7,Guatemala,Office of Field Operations,FMUA,Title 8
39,2018,2018,OCT,OCT,1054,Guatemala,Office of Field Operations,FMUA,Title 8
40,2019,2019,OCT,OCT,611,Guatemala,Office of Field Operations,FMUA,Title 8
41,2020,2020,OCT,OCT,80,Guatemala,Office of Field Operations,FMUA,Title 8
42,2021 (FYTD),2021 (FYTD),OCT,OCT,6,Guatemala,Office of Field Operations,FMUA,Title 8
0,2018,2018,SEP,SEP,77,Guatemala,Office of Field Operations,Single Adults,all
1,2019,2019,SEP,SEP,38,Guatemala,Office of Field Operations,Single Adults,all
2,2020,2020,SEP,SEP,14,Guatemala,Office of Field Operations,Single Adults,all
3,2018,2018,AUG,AUG,76,Guatemala,Office of Field Operations,Single Adults,all
4,2019,2019,AUG,AUG,50,Guatemala,Office of Field Operations,Single Adults,all
5,2020,2020,AUG,AUG,37,Guatemala,Office of Field Operations,Single Adults,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,174,Guatemala,Office of Field Operations,Single Adults,all
7,2018,2018,JUL,JUL,73,Guatemala,Office of Field Operations,Single Adults,all
8,2019,2019,JUL,JUL,49,Guatemala,Office of Field Operations,Single Adults,all
9,2020,2020,JUL,JUL,56,Guatemala,Office of Field Operations,Single Adults,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,174,Guatemala,Office of Field Operations,Single Adults,all
11,2018,2018,JUN,JUN,121,Guatemala,Office of Field Operations,Single Adults,all
12,2019,2019,JUN,JUN,43,Guatemala,Office of Field Operations,Single Adults,all
13,2020,2020,JUN,JUN,57,Guatemala,Office of Field Operations,Single Adults,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,150,Guatemala,Office of Field Operations,Single Adults,all
15,2018,2018,MAY,MAY,189,Guatemala,Office of Field Operations,Single Adults,all
16,2019,2019,MAY,MAY,59,Guatemala,Office of Field Operations,Single Adults,all
17,2020,2020,MAY,MAY,22,Guatemala,Office of Field Operations,Single Adults,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,100,Guatemala,Office of Field Operations,Single Adults,all
19,2018,2018,APR,APR,188,Guatemala,Office of Field Operations,Single Adults,all
20,2019,2019,APR,APR,76,Guatemala,Office of Field Operations,Single Adults,all
21,2020,2020,APR,APR,16,Guatemala,Office of Field Operations,Single Adults,all
22,2021 (FYTD),2021 (FYTD),APR,APR,80,Guatemala,Office of Field Operations,Single Adults,all
23,2018,2018,MAR,MAR,229,Guatemala,Office of Field Operations,Single Adults,all
24,2019,2019,MAR,MAR,85,Guatemala,Office of Field Operations,Single Adults,all
25,2020,2020,MAR,MAR,30,Guatemala,Office of Field Operations,Single Adults,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,63,Guatemala,Office of Field Operations,Single Adults,all
27,2018,2018,FEB,FEB,140,Guatemala,Office of Field Operations,Single Adults,all
28,2019,2019,FEB,FEB,118,Guatemala,Office of Field Operations,Single Adults,all
29,2020,2020,FEB,FEB,45,Guatemala,Office of Field Operations,Single Adults,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,67,Guatemala,Office of Field Operations,Single Adults,all
31,2018,2018,JAN,JAN,120,Guatemala,Office of Field Operations,Single Adults,all
32,2019,2019,JAN,JAN,109,Guatemala,Office of Field Operations,Single Adults,all
33,2020,2020,JAN,JAN,31,Guatemala,Office of Field Operations,Single Adults,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,40,Guatemala,Office of Field Operations,Single Adults,all
35,2018,2018,DEC,DEC,188,Guatemala,Office of Field Operations,Single Adults,all
36,2019,2019,DEC,DEC,83,Guatemala,Office of Field Operations,Single Adults,all
37,2020,2020,DEC,DEC,36,Guatemala,Office of Field Operations,Single Adults,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,44,Guatemala,Office of Field Operations,Single Adults,all
39,2018,2018,NOV,NOV,135,Guatemala,Office of Field Operations,Single Adults,all
40,2019,2019,NOV,NOV,89,Guatemala,Office of Field Operations,Single Adults,all
41,2020,2020,NOV,NOV,37,Guatemala,Office of Field Operations,Single Adults,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,26,Guatemala,Office of Field Operations,Single Adults,all
43,2018,2018,OCT,OCT,112,Guatemala,Office of Field Operations,Single Adults,all
44,2019,2019,OCT,OCT,99,Guatemala,Office of Field Operations,Single Adults,all
45,2020,2020,OCT,OCT,29,Guatemala,Office of Field Operations,Single Adults,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,42,Guatemala,Office of Field Operations,Single Adults,all
0,2018,2018,SEP,SEP,77,Guatemala,Office of Field Operations,Single Adults,Title 8
1,2019,2019,SEP,SEP,38,Guatemala,Office of Field Operations,Single Adults,Title 8
2,2020,2020,SEP,SEP,3,Guatemala,Office of Field Operations,Single Adults,Title 8
3,2018,2018,AUG,AUG,76,Guatemala,Office of Field Operations,Single Adults,Title 8
4,2019,2019,AUG,AUG,50,Guatemala,Office of Field Operations,Single Adults,Title 8
5,2020,2020,AUG,AUG,7,Guatemala,Office of Field Operations,Single Adults,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,150,Guatemala,Office of Field Operations,Single Adults,Title 8
7,2018,2018,JUL,JUL,73,Guatemala,Office of Field Operations,Single Adults,Title 8
8,2019,2019,JUL,JUL,49,Guatemala,Office of Field Operations,Single Adults,Title 8
9,2020,2020,JUL,JUL,4,Guatemala,Office of Field Operations,Single Adults,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,138,Guatemala,Office of Field Operations,Single Adults,Title 8
11,2018,2018,JUN,JUN,121,Guatemala,Office of Field Operations,Single Adults,Title 8
12,2019,2019,JUN,JUN,43,Guatemala,Office of Field Operations,Single Adults,Title 8
13,2020,2020,JUN,JUN,4,Guatemala,Office of Field Operations,Single Adults,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,118,Guatemala,Office of Field Operations,Single Adults,Title 8
15,2018,2018,MAY,MAY,189,Guatemala,Office of Field Operations,Single Adults,Title 8
16,2019,2019,MAY,MAY,59,Guatemala,Office of Field Operations,Single Adults,Title 8
17,2020,2020,MAY,MAY,6,Guatemala,Office of Field Operations,Single Adults,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,64,Guatemala,Office of Field Operations,Single Adults,Title 8
19,2018,2018,APR,APR,188,Guatemala,Office of Field Operations,Single Adults,Title 8
20,2019,2019,APR,APR,76,Guatemala,Office of Field Operations,Single Adults,Title 8
21,2020,2020,APR,APR,3,Guatemala,Office of Field Operations,Single Adults,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,28,Guatemala,Office of Field Operations,Single Adults,Title 8
23,2018,2018,MAR,MAR,229,Guatemala,Office of Field Operations,Single Adults,Title 8
24,2019,2019,MAR,MAR,85,Guatemala,Office of Field Operations,Single Adults,Title 8
25,2020,2020,MAR,MAR,27,Guatemala,Office of Field Operations,Single Adults,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,19,Guatemala,Office of Field Operations,Single Adults,Title 8
27,2018,2018,FEB,FEB,140,Guatemala,Office of Field Operations,Single Adults,Title 8
28,2019,2019,FEB,FEB,118,Guatemala,Office of Field Operations,Single Adults,Title 8
29,2020,2020,FEB,FEB,45,Guatemala,Office of Field Operations,Single Adults,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,26,Guatemala,Office of Field Operations,Single Adults,Title 8
31,2018,2018,JAN,JAN,120,Guatemala,Office of Field Operations,Single Adults,Title 8
32,2019,2019,JAN,JAN,109,Guatemala,Office of Field Operations,Single Adults,Title 8
