Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2021,2021,MAR,MAR,15.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,19.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,FEB,FEB,71.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,FEB,FEB,51.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,FEB,FEB,6.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,17.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,JAN,JAN,74.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,JAN,JAN,72.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,JAN,JAN,8.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,8.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,DEC,DEC,39.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,DEC,DEC,53.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,DEC,DEC,3.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,17.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,NOV,NOV,66.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,NOV,NOV,55.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,NOV,NOV,4.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,10.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,OCT,OCT,74.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,OCT,OCT,56.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,OCT,OCT,3.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,6.00,Honduras,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,JUN,JUN,3.000,Honduras,Office of Field Operations,UC / Single Minors,Title 42
2020,2020,MAY,MAY,1.000,Honduras,Office of Field Operations,UC / Single Minors,Title 42
2020,2020,APR,APR,2.000,Honduras,Office of Field Operations,UC / Single Minors,Title 42
2021,2021,OCT,OCT,1.000,Honduras,Office of Field Operations,UC / Single Minors,Title 42
2019,2019,SEP,SEP,"8,856",Honduras,U.S. Border Patrol,all,all
2020,2020,SEP,SEP,"4,818",Honduras,U.S. Border Patrol,all,all
2021,2021,SEP,SEP,"26,798",Honduras,U.S. Border Patrol,all,all
2019,2019,AUG,AUG,"15,278",Honduras,U.S. Border Patrol,all,all
2020,2020,AUG,AUG,"3,983",Honduras,U.S. Border Patrol,all,all
2021,2021,AUG,AUG,"39,532",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),AUG,AUG,"13,066",Honduras,U.S. Border Patrol,all,all
2019,2019,JUL,JUL,"24,630",Honduras,U.S. Border Patrol,all,all
2020,2020,JUL,JUL,"2,880",Honduras,U.S. Border Patrol,all,all
2021,2021,JUL,JUL,"42,594",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),JUL,JUL,"18,108",Honduras,U.S. Border Patrol,all,all
2019,2019,JUN,JUN,"29,409",Honduras,U.S. Border Patrol,all,all
2020,2020,JUN,JUN,"2,101",Honduras,U.S. Border Patrol,all,all
2021,2021,JUN,JUN,"32,620",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),JUN,JUN,"22,712",Honduras,U.S. Border Patrol,all,all
2019,2019,MAY,MAY,"42,266",Honduras,U.S. Border Patrol,all,all
2020,2020,MAY,MAY,"1,712",Honduras,U.S. Border Patrol,all,all
2021,2021,MAY,MAY,"30,624",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),MAY,MAY,"17,999",Honduras,U.S. Border Patrol,all,all
2019,2019,APR,APR,"30,888",Honduras,U.S. Border Patrol,all,all
2020,2020,APR,APR,"1,872",Honduras,U.S. Border Patrol,all,all
2021,2021,APR,APR,"37,738",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),APR,APR,"14,259",Honduras,U.S. Border Patrol,all,all
2019,2019,MAR,MAR,"28,322",Honduras,U.S. Border Patrol,all,all
2020,2020,MAR,MAR,"3,226",Honduras,U.S. Border Patrol,all,all
2021,2021,MAR,MAR,"41,989",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),MAR,MAR,"15,709",Honduras,U.S. Border Patrol,all,all
2019,2019,FEB,FEB,"21,571",Honduras,U.S. Border Patrol,all,all
2020,2020,FEB,FEB,"2,802",Honduras,U.S. Border Patrol,all,all
2021,2021,FEB,FEB,"20,102",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),FEB,FEB,"13,689",Honduras,U.S. Border Patrol,all,all
2019,2019,JAN,JAN,"12,458",Honduras,U.S. Border Patrol,all,all
2020,2020,JAN,JAN,"2,567",Honduras,U.S. Border Patrol,all,all
2021,2021,JAN,JAN,"11,162",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),JAN,JAN,"11,726",Honduras,U.S. Border Patrol,all,all
2019,2019,DEC,DEC,"13,993",Honduras,U.S. Border Patrol,all,all
2020,2020,DEC,DEC,"4,202",Honduras,U.S. Border Patrol,all,all
2021,2021,DEC,DEC,"10,296",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),DEC,DEC,"17,855",Honduras,U.S. Border Patrol,all,all
2019,2019,NOV,NOV,"13,672",Honduras,U.S. Border Patrol,all,all
2020,2020,NOV,NOV,"4,479",Honduras,U.S. Border Patrol,all,all
2021,2021,NOV,NOV,"8,146",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),NOV,NOV,"19,918",Honduras,U.S. Border Patrol,all,all
2019,2019,OCT,OCT,"12,452",Honduras,U.S. Border Patrol,all,all
2020,2020,OCT,OCT,"5,449",Honduras,U.S. Border Patrol,all,all
2021,2021,OCT,OCT,"7,330",Honduras,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),OCT,OCT,"21,777",Honduras,U.S. Border Patrol,all,all
2019,2019,SEP,SEP,"8,856",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,SEP,SEP,585,Honduras,U.S. Border Patrol,all,Title 8
2021,2021,SEP,SEP,"12,760",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,AUG,AUG,"15,278",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,AUG,AUG,335,Honduras,U.S. Border Patrol,all,Title 8
2021,2021,AUG,AUG,"23,987",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),AUG,AUG,"4,056",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,JUL,JUL,"24,630",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,JUL,JUL,172,Honduras,U.S. Border Patrol,all,Title 8
2021,2021,JUL,JUL,"26,524",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),JUL,JUL,"5,817",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,JUN,JUN,"29,409",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,JUN,JUN,97,Honduras,U.S. Border Patrol,all,Title 8
2021,2021,JUN,JUN,"16,313",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),JUN,JUN,"7,416",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,MAY,MAY,"42,266",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,MAY,MAY,85,Honduras,U.S. Border Patrol,all,Title 8
2021,2021,MAY,MAY,"12,557",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),MAY,MAY,"6,274",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,APR,APR,"30,888",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,APR,APR,65,Honduras,U.S. Border Patrol,all,Title 8
2021,2021,APR,APR,"16,283",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,"5,660",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,MAR,MAR,"28,322",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,MAR,MAR,"2,362",Honduras,U.S. Border Patrol,all,Title 8
2021,2021,MAR,MAR,"21,195",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,"4,729",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,FEB,FEB,"21,571",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,FEB,FEB,"2,802",Honduras,U.S. Border Patrol,all,Title 8
2021,2021,FEB,FEB,"7,555",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,"3,912",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,JAN,JAN,"12,458",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,JAN,JAN,"2,567",Honduras,U.S. Border Patrol,all,Title 8
2021,2021,JAN,JAN,"1,897",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,"2,890",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,DEC,DEC,"13,993",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,DEC,DEC,"4,202",Honduras,U.S. Border Patrol,all,Title 8
2021,2021,DEC,DEC,"1,269",Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,"5,746",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,NOV,NOV,"13,672",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,NOV,NOV,"4,479",Honduras,U.S. Border Patrol,all,Title 8
2021,2021,NOV,NOV,891,Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,"7,302",Honduras,U.S. Border Patrol,all,Title 8
2019,2019,OCT,OCT,"12,452",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,OCT,OCT,"5,449",Honduras,U.S. Border Patrol,all,Title 8
2021,2021,OCT,OCT,774,Honduras,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,"7,935",Honduras,U.S. Border Patrol,all,Title 8
2020,2020,SEP,SEP,"4,233",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,SEP,SEP,"14,038",Honduras,U.S. Border Patrol,all,Title 42
2020,2020,AUG,AUG,"3,648",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,AUG,AUG,"15,545",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),AUG,AUG,"9,010",Honduras,U.S. Border Patrol,all,Title 42
2020,2020,JUL,JUL,"2,708",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,JUL,JUL,"16,070",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),JUL,JUL,"12,291",Honduras,U.S. Border Patrol,all,Title 42
2020,2020,JUN,JUN,"2,004",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,JUN,JUN,"16,307",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),JUN,JUN,"15,296",Honduras,U.S. Border Patrol,all,Title 42
2020,2020,MAY,MAY,"1,627",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,MAY,MAY,"18,067",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),MAY,MAY,"11,725",Honduras,U.S. Border Patrol,all,Title 42
2020,2020,APR,APR,"1,807",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,APR,APR,"21,455",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,"8,599",Honduras,U.S. Border Patrol,all,Title 42
2020,2020,MAR,MAR,864,Honduras,U.S. Border Patrol,all,Title 42
2021,2021,MAR,MAR,"20,794",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,"10,980",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,FEB,FEB,"12,547",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,"9,777",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,JAN,JAN,"9,265",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,"8,836",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,DEC,DEC,"9,027",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,"12,109",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,NOV,NOV,"7,255",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,"12,616",Honduras,U.S. Border Patrol,all,Title 42
2021,2021,OCT,OCT,"6,556",Honduras,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,"13,842",Honduras,U.S. Border Patrol,all,Title 42
2019,2019,SEP,SEP,"5,967",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,SEP,SEP,536,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,SEP,SEP,"13,892",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,AUG,AUG,"11,208",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,AUG,AUG,565,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,AUG,AUG,"23,628",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),AUG,AUG,"2,473",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,JUL,JUL,"19,252",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,JUL,JUL,375,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,JUL,JUL,"23,966",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),JUL,JUL,"5,533",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,JUN,JUN,"22,828",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,JUN,JUN,323,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,JUN,JUN,"14,747",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),JUN,JUN,"8,870",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,MAY,MAY,"33,202",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,MAY,MAY,213,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,MAY,MAY,"12,516",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),MAY,MAY,"5,690",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,APR,APR,"23,246",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,APR,APR,183,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,APR,APR,"19,446",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),APR,APR,"3,244",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,MAR,MAR,"20,913",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,MAR,MAR,721,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,MAR,MAR,"24,920",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),MAR,MAR,"3,684",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,FEB,FEB,"15,775",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,FEB,FEB,637,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,FEB,FEB,"9,085",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),FEB,FEB,"3,609",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,JAN,JAN,"8,845",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,JAN,JAN,714,Honduras,U.S. Border Patrol,FMUA,all
2021,2021,JAN,JAN,"1,961",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),JAN,JAN,"3,643",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,DEC,DEC,"9,584",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,DEC,DEC,"1,553",Honduras,U.S. Border Patrol,FMUA,all
2021,2021,DEC,DEC,"1,207",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),DEC,DEC,"7,013",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,NOV,NOV,"9,177",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,NOV,NOV,"1,852",Honduras,U.S. Border Patrol,FMUA,all
2021,2021,NOV,NOV,919,Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),NOV,NOV,"8,601",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,OCT,OCT,"8,419",Honduras,U.S. Border Patrol,FMUA,all
2020,2020,OCT,OCT,"2,813",Honduras,U.S. Border Patrol,FMUA,all
2021,2021,OCT,OCT,"1,129",Honduras,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),OCT,OCT,"10,418",Honduras,U.S. Border Patrol,FMUA,all
2019,2019,SEP,SEP,"5,967",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,SEP,SEP,12,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,SEP,SEP,"8,627",Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,AUG,AUG,"11,208",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,AUG,AUG,61,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,AUG,AUG,"17,996",Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),AUG,AUG,664,Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,JUL,JUL,"19,252",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,JUL,JUL,11,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,JUL,JUL,"20,259",Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JUL,JUL,"1,197",Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,JUN,JUN,"22,828",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,JUN,JUN,8,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,JUN,JUN,"11,558",Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JUN,JUN,"2,245",Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,MAY,MAY,"33,202",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,MAY,MAY,8,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,MAY,MAY,"8,170",Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),MAY,MAY,"1,865",Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,APR,APR,"23,246",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,APR,APR,5,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,APR,APR,"10,526",Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,803,Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,MAR,MAR,"20,913",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,MAR,MAR,573,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,MAR,MAR,"14,709",Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,816,Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,FEB,FEB,"15,775",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,FEB,FEB,637,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,FEB,FEB,"4,674",Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,691,Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,JAN,JAN,"8,845",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,JAN,JAN,714,Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,JAN,JAN,494,Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,606,Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,DEC,DEC,"9,584",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,DEC,DEC,"1,553",Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,DEC,DEC,69,Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,"2,624",Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,NOV,NOV,"9,177",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,NOV,NOV,"1,852",Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,NOV,NOV,40,Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,"3,403",Honduras,U.S. Border Patrol,FMUA,Title 8
2019,2019,OCT,OCT,"8,419",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,OCT,OCT,"2,813",Honduras,U.S. Border Patrol,FMUA,Title 8
2021,2021,OCT,OCT,19,Honduras,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,"4,296",Honduras,U.S. Border Patrol,FMUA,Title 8
2020,2020,SEP,SEP,524,Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,SEP,SEP,"5,265",Honduras,U.S. Border Patrol,FMUA,Title 42
2020,2020,AUG,AUG,504,Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,AUG,AUG,"5,632",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),AUG,AUG,"1,809",Honduras,U.S. Border Patrol,FMUA,Title 42
2020,2020,JUL,JUL,364,Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,JUL,JUL,"3,707",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JUL,JUL,"4,336",Honduras,U.S. Border Patrol,FMUA,Title 42
2020,2020,JUN,JUN,315,Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,JUN,JUN,"3,189",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JUN,JUN,"6,625",Honduras,U.S. Border Patrol,FMUA,Title 42
2020,2020,MAY,MAY,205,Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,MAY,MAY,"4,346",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),MAY,MAY,"3,825",Honduras,U.S. Border Patrol,FMUA,Title 42
2020,2020,APR,APR,178,Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,APR,APR,"8,920",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,"2,441",Honduras,U.S. Border Patrol,FMUA,Title 42
2020,2020,MAR,MAR,148,Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,MAR,MAR,"10,211",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,"2,868",Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,FEB,FEB,"4,411",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,"2,918",Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,JAN,JAN,"1,467",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,"3,037",Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,DEC,DEC,"1,138",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,"4,389",Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,NOV,NOV,879,Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,"5,198",Honduras,U.S. Border Patrol,FMUA,Title 42
2021,2021,OCT,OCT,"1,110",Honduras,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,"6,122",Honduras,U.S. Border Patrol,FMUA,Title 42
2019,2019,SEP,SEP,"2,177",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,SEP,SEP,"3,685",Honduras,U.S. Border Patrol,Single Adults,all
2021,2021,SEP,SEP,"9,241",Honduras,U.S. Border Patrol,Single Adults,all
2019,2019,AUG,AUG,"3,036",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,AUG,AUG,"3,024",Honduras,U.S. Border Patrol,Single Adults,all
2021,2021,AUG,AUG,"10,594",Honduras,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),AUG,AUG,"7,904",Honduras,U.S. Border Patrol,Single Adults,all
2019,2019,JUL,JUL,"3,605",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,JUL,JUL,"2,147",Honduras,U.S. Border Patrol,Single Adults,all
2021,2021,JUL,JUL,"13,030",Honduras,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),JUL,JUL,"8,762",Honduras,U.S. Border Patrol,Single Adults,all
2019,2019,JUN,JUN,"4,464",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,JUN,JUN,"1,595",Honduras,U.S. Border Patrol,Single Adults,all
2021,2021,JUN,JUN,"13,686",Honduras,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),JUN,JUN,"9,436",Honduras,U.S. Border Patrol,Single Adults,all
2019,2019,MAY,MAY,"5,845",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,MAY,MAY,"1,443",Honduras,U.S. Border Patrol,Single Adults,all
2021,2021,MAY,MAY,"14,307",Honduras,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),MAY,MAY,"8,570",Honduras,U.S. Border Patrol,Single Adults,all
2019,2019,APR,APR,"5,221",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,APR,APR,"1,631",Honduras,U.S. Border Patrol,Single Adults,all
2021,2021,APR,APR,"13,110",Honduras,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),APR,APR,"8,404",Honduras,U.S. Border Patrol,Single Adults,all
2019,2019,MAR,MAR,"4,970",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,MAR,MAR,"2,020",Honduras,U.S. Border Patrol,Single Adults,all
2021,2021,MAR,MAR,"11,137",Honduras,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),MAR,MAR,"8,641",Honduras,U.S. Border Patrol,Single Adults,all
2019,2019,FEB,FEB,"3,936",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,FEB,FEB,"1,729",Honduras,U.S. Border Patrol,Single Adults,all
2021,2021,FEB,FEB,"8,461",Honduras,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),FEB,FEB,"7,322",Honduras,U.S. Border Patrol,Single Adults,all
2019,2019,JAN,JAN,"2,392",Honduras,U.S. Border Patrol,Single Adults,all
2020,2020,JAN,JAN,"1,544",Honduras,U.S. Border Patrol,Single Adults,all
